fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 150741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2386	TRUE	363373	0.00523319468976277	0.996535489905246	97	586	8698	27250000	28
20221002 151248	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	317	TRUE	363373	0.0254811932586023	0.993639741446739	11	402	8884	25920000	29
20221002 152638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1163	TRUE	363373	0.00508233197760152	0.983030734320925	840	804	8833	26980000	30
20221002 154252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	703	TRUE	363373	0.00521995231396665	0.797345877533728	207	385	8846	27270000	31
20221002 155249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1954	TRUE	363373	0.00518714643633414	0.638372543995559	7845	660	8808	25750000	32
20221002 155337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	363373	0.0702210051207577	0.789174361693906	4390	904	8856	26290000	33
20221002 155438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	363373	0.0807059287861251	0.923242361770427	6376	570	9228	26030000	34
20221002 155551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	363373	0.0861494486431235	0.254250564380131	703	565	8892	26940000	35
20221002 155658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	363373	0.0885768594831045	0.722432734275619	968	721	8652	26220000	36
20221002 160017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	363373	0.0931406025331409	0.59403027921735	277	239	9074	26180000	37
20221002 160207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	363373	0.0812648646060629	0.205390531910096	368	1017	8931	26300000	38
